==========================================
Job ID: 3165408
Node: dgxt001
GPU: 0
Experiment: configs/experiment/unet_dataset83_raw_10k.yaml
Run Name: unet-raw-10k
Wall time: 7 days
==========================================
Mon Feb 23 14:24:47 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 570.158.01             Driver Version: 570.158.01     CUDA Version: 12.8     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA A100-SXM4-40GB          On  |   00000000:0F:00.0 Off |                    0 |
| N/A   26C    P0             53W /  400W |       0MiB /  40960MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
Split: 70 train / 13 val (from 83 total)
Model: unet
Trainable parameters: 47,388,550
Epoch 55/10000 | train_loss: 0.4416 | miou: 0.5572 | f1_macro: 0.6725 | pixel_accuracy: 0.8253 | img_miou: 0.5550 | img_f1_macro: 0.6593 | img_pixel_accuracy: 0.8253 | val_loss: 0.6200
Epoch 56/10000 | train_loss: 0.4106 | miou: 0.5495 | f1_macro: 0.6618 | pixel_accuracy: 0.8215 | img_miou: 0.5366 | img_f1_macro: 0.6391 | img_pixel_accuracy: 0.8215 | val_loss: 0.6758
Epoch 57/10000 | train_loss: 0.4696 | miou: 0.5183 | f1_macro: 0.6432 | pixel_accuracy: 0.7923 | img_miou: 0.5263 | img_f1_macro: 0.6351 | img_pixel_accuracy: 0.7923 | val_loss: 0.7022
Epoch 58/10000 | train_loss: 0.4026 | miou: 0.5713 | f1_macro: 0.6872 | pixel_accuracy: 0.8330 | img_miou: 0.5649 | img_f1_macro: 0.6682 | img_pixel_accuracy: 0.8330 | val_loss: 0.6225
Epoch 59/10000 | train_loss: 0.3732 | miou: 0.5640 | f1_macro: 0.6777 | pixel_accuracy: 0.8300 | img_miou: 0.5618 | img_f1_macro: 0.6628 | img_pixel_accuracy: 0.8300 | val_loss: 0.6736
Epoch 60/10000 | train_loss: 0.3885 | miou: 0.4838 | f1_macro: 0.6058 | pixel_accuracy: 0.7768 | img_miou: 0.4951 | img_f1_macro: 0.5986 | img_pixel_accuracy: 0.7768 | val_loss: 0.8398
Epoch 61/10000 | train_loss: 0.3822 | miou: 0.5722 | f1_macro: 0.6916 | pixel_accuracy: 0.8351 | img_miou: 0.5724 | img_f1_macro: 0.6795 | img_pixel_accuracy: 0.8351 | val_loss: 0.5905
Epoch 62/10000 | train_loss: 0.3541 | miou: 0.5631 | f1_macro: 0.6755 | pixel_accuracy: 0.8260 | img_miou: 0.5531 | img_f1_macro: 0.6518 | img_pixel_accuracy: 0.8260 | val_loss: 0.6557
Epoch 63/10000 | train_loss: 0.3480 | miou: 0.5547 | f1_macro: 0.6726 | pixel_accuracy: 0.8183 | img_miou: 0.5597 | img_f1_macro: 0.6567 | img_pixel_accuracy: 0.8183 | val_loss: 0.6564
Epoch 64/10000 | train_loss: 0.3496 | miou: 0.5708 | f1_macro: 0.6855 | pixel_accuracy: 0.8316 | img_miou: 0.5692 | img_f1_macro: 0.6702 | img_pixel_accuracy: 0.8316 | val_loss: 0.6309
Epoch 65/10000 | train_loss: 0.3405 | miou: 0.5718 | f1_macro: 0.6902 | pixel_accuracy: 0.8279 | img_miou: 0.5765 | img_f1_macro: 0.6774 | img_pixel_accuracy: 0.8279 | val_loss: 0.6403
Epoch 66/10000 | train_loss: 0.3869 | miou: 0.5680 | f1_macro: 0.6802 | pixel_accuracy: 0.8315 | img_miou: 0.5667 | img_f1_macro: 0.6643 | img_pixel_accuracy: 0.8315 | val_loss: 0.6032
Epoch 67/10000 | train_loss: 0.3241 | miou: 0.5689 | f1_macro: 0.6838 | pixel_accuracy: 0.8307 | img_miou: 0.5702 | img_f1_macro: 0.6678 | img_pixel_accuracy: 0.8307 | val_loss: 0.6781
Epoch 68/10000 | train_loss: 0.3146 | miou: 0.5772 | f1_macro: 0.6983 | pixel_accuracy: 0.8279 | img_miou: 0.5779 | img_f1_macro: 0.6803 | img_pixel_accuracy: 0.8279 | val_loss: 0.6435
Epoch 69/10000 | train_loss: 0.3590 | miou: 0.5667 | f1_macro: 0.6915 | pixel_accuracy: 0.8214 | img_miou: 0.5659 | img_f1_macro: 0.6722 | img_pixel_accuracy: 0.8214 | val_loss: 0.7485
Epoch 70/10000 | train_loss: 0.3013 | miou: 0.5824 | f1_macro: 0.7058 | pixel_accuracy: 0.8310 | img_miou: 0.5796 | img_f1_macro: 0.6809 | img_pixel_accuracy: 0.8310 | val_loss: 0.6192
Epoch 71/10000 | train_loss: 0.2859 | miou: 0.5703 | f1_macro: 0.6887 | pixel_accuracy: 0.8281 | img_miou: 0.5693 | img_f1_macro: 0.6660 | img_pixel_accuracy: 0.8281 | val_loss: 0.6577
